                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.46171,                0.37732,                0.94849,                0.93168,                0.89634,                0.95686,                 0.8649,                0.47099,                0.38276,                0.91114,              0.0009506,              0.0009506,              0.0009506
                     55,                0.45659,                0.37038,                0.94628,                0.92761,                0.88415,                0.95645,                0.87039,                0.46728,                0.38823,                0.87777,              0.0009308,              0.0009308,              0.0009308
                     56,                0.43963,                0.36522,                0.94256,                0.93779,                0.89634,                0.96864,                 0.8804,                0.49172,                 0.3947,                0.92537,               0.000911,               0.000911,               0.000911
                     57,                0.43742,                0.35777,                0.93806,                0.91799,                0.88736,                0.94377,                0.86521,                0.45847,                 0.4169,                0.88349,              0.0008912,              0.0008912,              0.0008912
                     58,                0.42894,                0.35581,                0.93815,                0.89753,                0.91463,                0.95622,                0.86901,                 0.4617,                0.41657,                0.89493,              0.0008714,              0.0008714,              0.0008714
                     59,                0.42631,                0.35509,                0.93343,                0.92441,                0.89481,                0.95299,                0.86495,                0.43443,                0.39245,                0.87819,              0.0008516,              0.0008516,              0.0008516
                     60,                0.41873,                0.34555,                0.92825,                0.94417,                0.86585,                0.94924,                0.85971,                0.48729,                0.41882,                0.92166,              0.0008318,              0.0008318,              0.0008318
                     61,                0.42905,                0.35135,                0.93327,                0.94078,                0.87188,                0.95303,                0.87111,                0.45291,                0.39765,                0.87751,               0.000812,               0.000812,               0.000812
                     62,                0.42604,                0.35543,                 0.9343,                0.91905,                0.91463,                0.95879,                0.87229,                0.44709,                0.40084,                0.87872,              0.0007922,              0.0007922,              0.0007922
                     63,                0.41995,                0.35887,                  0.935,                0.93027,                0.90244,                0.95509,                0.87017,                0.44343,                0.36999,                 0.8814,              0.0007724,              0.0007724,              0.0007724
                     64,                0.41954,                0.34811,                0.92894,                0.93015,                0.89319,                0.95611,                0.87896,                0.42738,                0.36623,                0.87184,              0.0007526,              0.0007526,              0.0007526
                     65,                0.40286,                0.33544,                 0.9246,                0.90988,                0.92345,                0.95772,                0.87344,                0.43596,                0.39368,                0.89298,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.4054,                0.34254,                0.92412,                 0.9092,                0.90854,                0.95962,                0.88752,                0.43682,                0.40155,                0.87241,               0.000713,               0.000713,               0.000713
                     67,                0.40368,                0.34045,                 0.9255,                0.93489,                0.89634,                0.95431,                0.87188,                0.42516,                0.39038,                0.88819,              0.0006932,              0.0006932,              0.0006932
                     68,                0.39965,                0.34065,                0.92284,                0.89265,                0.92073,                0.96088,                0.88775,                0.39153,                0.36795,                0.85737,              0.0006734,              0.0006734,              0.0006734
                     69,                0.38947,                0.32899,                0.91233,                0.89396,                0.90854,                0.95164,                0.87979,                0.40952,                0.38657,                0.86744,              0.0006536,              0.0006536,              0.0006536
                     70,                0.39821,                0.33658,                0.92486,                0.91273,                0.90244,                0.96435,                0.88982,                0.41172,                 0.3719,                0.85609,              0.0006338,              0.0006338,              0.0006338
                     71,                0.40443,                0.33691,                 0.9257,                0.93612,                0.90244,                0.96399,                0.87293,                0.47065,                0.38533,                 0.9039,               0.000614,               0.000614,               0.000614
                     72,                0.37848,                0.32376,                0.91596,                0.93624,                0.89541,                0.95865,                0.88725,                0.44271,                0.40403,                0.88427,              0.0005942,              0.0005942,              0.0005942
                     73,                0.38513,                0.32947,                0.91984,                0.92952,                0.90244,                0.96044,                0.88462,                0.41528,                0.36764,                0.89585,              0.0005744,              0.0005744,              0.0005744
                     74,                0.37341,                 0.3177,                0.90831,                0.94011,                0.89634,                0.95363,                0.88275,                0.43375,                0.36935,                0.88553,              0.0005546,              0.0005546,              0.0005546
                     75,                0.38097,                0.31928,                  0.914,                0.91243,                0.92073,                 0.9613,                0.89184,                0.39946,                0.35539,                0.87403,              0.0005348,              0.0005348,              0.0005348
                     76,                0.38375,                0.32061,                0.91729,                0.94748,                0.88415,                0.96261,                0.89726,                0.39037,                0.35884,                0.85941,               0.000515,               0.000515,               0.000515
